model_name,occupation,dp_gap,eo_tpr_gap,eo_fpr_gap
pythia_160m_masked_zeroshot (Masked),comedian,0.002472187886279357,0.23529411764705882,0.0
pythia_410m_fewshot (Unmasked),nurse,0.08469032358470821,0.17938931297709926,0.028849420463629098
pythia_410m_fewshot (Unmasked),photographer,0.061499698579118064,0.07923497267759572,0.044098810333522045
pythia_410m_fewshot (Unmasked),professor,0.017937672959237524,0.03991901308974479,0.005955854844743733
pythia_410m_fewshot (Unmasked),architect,0.021284607499923974,0.11754385964912284,0.010084980179453877
pythia_410m_fewshot (Unmasked),journalist,0.046740808451948834,0.10599153370237713,0.036726637070365
pythia_410m_fewshot (Unmasked),teacher,0.04518003860333907,0.15662337662337664,0.033493627335991864
pythia_410m_fewshot (Unmasked),physician,0.0201513723147156,0.054664863820745535,0.03298988211268913
pythia_410m_fewshot (Unmasked),attorney,0.017997599366032284,0.1533900977609587,0.0036394519149826597
pythia_410m_fewshot (Unmasked),psychologist,0.009753693523833715,0.06006493506493507,0.000928148630436546
pythia_410m_fewshot (Unmasked),dentist,0.02609303082721696,0.016414141414141437,6.270650941803471e-05
pythia_410m_fewshot (Unmasked),model,0.0012942315019704165,0.1266666666666667,0.014415907517212674
pythia_410m_fewshot (Unmasked),software_engineer,0.0030294140270724253,0.02127659574468085,0.002914646143163009
pythia_410m_fewshot (Unmasked),surgeon,0.010491593308993075,0.04540229885057473,0.002369531877181422
pythia_410m_fewshot (Unmasked),poet,0.0036483554226242765,0.10666666666666666,0.001808887214165192
pythia_410m_fewshot (Unmasked),composer,0.011109640280562914,0.1523809523809524,0.0028686991565058276
pythia_410m_fewshot (Unmasked),painter,0.003934571096867906,0.04418103448275862,0.0029563932002956393
pythia_410m_fewshot (Unmasked),accountant,0.00893887327622138,0.16666666666666669,0.0020250181791404724
pythia_410m_fewshot (Unmasked),filmmaker,0.0022915142419130657,0.07142857142857142,0.002936857562408223
pythia_410m_fewshot (Unmasked),dietitian,0.009663356701650569,0.5517241379310345,0.0017869164965277021
pythia_410m_fewshot (Unmasked),comedian,0.006074927685821054,0.27058823529411763,0.0018738288569643974
pythia_410m_masked_zeroshot (Masked),nurse,0.08262509861024402,0.033502968617472484,0.021132094324540367
pythia_410m_masked_zeroshot (Masked),photographer,0.023635153724649784,0.031361368496079844,0.0028927100854881857
pythia_410m_masked_zeroshot (Masked),professor,0.11783499308610261,0.3010358790846596,0.028062102506546952
pythia_410m_masked_zeroshot (Masked),architect,0.07677288249594379,0.09912280701754383,0.05959820188231615
pythia_410m_masked_zeroshot (Masked),journalist,0.026836297156268396,0.04737870400521005,0.020976179364756473
pythia_410m_masked_zeroshot (Masked),teacher,0.22541720406640917,0.227012987012987,0.20845208773164442
pythia_410m_masked_zeroshot (Masked),physician,0.04259604771930828,0.14181958663318528,0.05151430765465853
pythia_410m_masked_zeroshot (Masked),attorney,0.03555871982884303,0.18517817723115726,0.00863048673532409
pythia_410m_masked_zeroshot (Masked),psychologist,0.01495476897922969,0.012987012987012991,0.004284524061610071
pythia_410m_masked_zeroshot (Masked),dentist,0.02506802094383196,0.0063131313131312705,0.0023828473578853433
pythia_410m_masked_zeroshot (Masked),model,0.011095329496850735,0.22666666666666663,0.00095978514250733
pythia_410m_masked_zeroshot (Masked),software_engineer,0.012149855371642109,0.11246200607902734,0.005638099647011168
pythia_410m_masked_zeroshot (Masked),surgeon,0.011109640280562914,0.01839080459770115,0.002450578403642394
pythia_410m_masked_zeroshot (Masked),poet,0.0008443362390187096,0.11333333333333337,0.0011522490899877303
pythia_410m_masked_zeroshot (Masked),composer,0.01634023172736526,0.0031746031746031633,0.003113930375498227
pythia_410m_masked_zeroshot (Masked),painter,0.0003613472887325844,0.004310344827586188,0.001043871495690768
pythia_410m_masked_zeroshot (Masked),accountant,0.0030750296501550036,0.07291666666666669,9.940998333962312e-05
pythia_410m_masked_zeroshot (Masked),filmmaker,0.004733291712804037,0.1571428571428571,0.0006317119393556538
pythia_410m_masked_zeroshot (Masked),dietitian,0.012301013024602027,0.5517241379310345,0.0007390983000739098
pythia_410m_masked_zeroshot (Masked),comedian,0.004838833742681376,0.27058823529411763,0.0006246096189881324
