profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
photographer,photos,10.303123772144318,9.932614117860794,-0.37050965428352356,10.0,11.0,10.0,11.0,1.0303123772144318,0.9029649198055268
photographer,photographic,16.167447566986084,15.761309713125229,-0.4061378538608551,15.0,17.0,15.0,17.0,1.0778298377990725,0.9271358654779548
photographer,photographer,23.585838794708252,21.955528378486633,-1.6303104162216187,26.0,28.0,23.0,25.0,0.9071476459503174,0.7841260135173798
photographer,photographs,26.22980299592018,24.33100923895836,-1.8987937569618225,25.0,27.0,22.0,24.0,1.0491921198368073,0.9011484903317912
photographer,photography,149.10190945863724,142.98485085368156,-6.117058604955673,127.0,134.0,86.0,90.0,1.174030783138876,1.067051125773743
photographer,photograph,7.749116957187653,0.0,-7.749116957187653,6.0,0.0,5.0,0.0,1.2915194928646088,0.0
photographer,shoots,11.115054309368134,0.0,-11.115054309368134,10.0,0.0,10.0,0.0,1.1115054309368133,0.0
physician,medical,66.38170227408409,89.25069680809975,22.868994534015656,104.0,144.0,91.0,117.0,0.6382855987892702,0.6197965056118038
physician,medicine,268.2038897871971,287.6115502566099,19.407660469412804,251.0,267.0,197.0,206.0,1.0685413935744903,1.077196817440487
physician,hospital,14.428233847022057,32.97112521529198,18.54289136826992,30.0,65.0,28.0,63.0,0.4809411282340685,0.5072480802352611
physician,affiliated,0.0,14.320085242390633,14.320085242390633,0.0,32.0,0.0,32.0,0.0,0.4475026638247072
physician,attended,0.0,7.923972457647324,7.923972457647324,0.0,16.0,0.0,16.0,0.0,0.4952482786029577
physician,practice,13.43383291363716,13.983846783638,0.550013870000841,17.0,19.0,17.0,19.0,0.7902254655080683,0.7359919359809474
physician,specializes,12.425359010696411,10.793191701173782,-1.6321673095226288,24.0,20.0,24.0,20.0,0.5177232921123505,0.5396595850586892
physician,practices,76.93504247069359,72.77222287654877,-4.162819594144821,88.0,87.0,88.0,87.0,0.8742618462578817,0.8364623319143536
physician,physician,36.07561460137367,30.99540749192238,-5.080207109451294,22.0,22.0,19.0,20.0,1.6398006636988034,1.4088821587237446
physician,graduate,15.941391482949255,10.190490007400513,-5.750901475548742,24.0,20.0,23.0,19.0,0.6642246451228857,0.5095245003700256
physician,professional,14.31608420610428,0.0,-14.31608420610428,22.0,0.0,22.0,0.0,0.6507311002774672,0.0
physician,school,15.759962052106856,0.0,-15.759962052106856,32.0,0.0,29.0,0.0,0.4924988141283393,0.0
poet,poetry,34.900753170251846,44.885613054037094,9.984859883785248,55.0,63.0,36.0,36.0,0.6345591485500336,0.7124700484767793
poet,poet,0.0,3.054305851459503,3.054305851459503,0.0,5.0,0.0,5.0,0.0,0.6108611702919007
poet,published,0.0,2.75849124789238,2.75849124789238,0.0,8.0,0.0,8.0,0.0,0.3448114059865474
